group_column,group_value,n_obs,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,model_name,feature_set,task,target,dataset_split,evaluation_slice,rmse,mae
score_state,trailing_big,5090,0.5670463761024125,0.7813283630258636,0.2848448390884162,0.20390502342325564,0.007072691552062868,0.5008194177284577,0.01572052401746725,gradient_boosting,context_only,classification,success,test,all,,
qb_location,0,225,0.575418773704172,0.8090831454202233,0.300325219968678,0.23723271582877017,0.0,0.5,0.0,gradient_boosting,context_only,classification,success,test,all,,
qb_location,P,666,0.5205009335004915,0.7882691515384901,0.2925642581861843,0.210470865751244,0.010510510510510511,0.4926176796875705,0.005952380952380952,gradient_boosting,context_only,classification,success,test,all,,
qb_location,S,16342,0.5809306502692283,0.7693956885672667,0.28077588104686196,0.1958666503697551,0.00446701750091788,0.5013994596293216,0.011906372615342985,gradient_boosting,context_only,classification,success,test,all,,
qb_location,U,2883,0.5142006215885061,0.7878107683176888,0.29252666576002034,0.20604895581877497,0.007284079084287201,0.5010178535850103,0.016359918200409,gradient_boosting,context_only,classification,success,test,all,,
starting_hash,0,227,0.5774336283185841,0.8088588392023375,0.30024707920281524,0.23732778303912733,0.0,0.5,0.0,gradient_boosting,context_only,classification,success,test,all,,
starting_hash,L,9159,0.5735413841128524,0.7750746517970033,0.28412502525655997,0.20027088297013712,0.0052407468064199145,0.49997912636695907,0.010318949343339587,gradient_boosting,context_only,classification,success,test,all,,
starting_hash,M,2114,0.560845076023582,0.7704214146078969,0.28153225812212124,0.19243376808178936,0.0033112582781456954,0.5017619684156203,0.010416666666666666,gradient_boosting,context_only,classification,success,test,all,,
starting_hash,R,8616,0.5772788766321474,0.7707246039324023,0.2818707531249852,0.1963215291147341,0.005338904363974002,0.5021189378597886,0.015117157974300832,gradient_boosting,context_only,classification,success,test,all,,
box_bucket,light_box,5752,0.5874198955126687,0.7629032566647707,0.27654901665726717,0.19178500351595223,0.0034770514603616135,0.5004982634777804,0.008025682182985553,gradient_boosting,context_only,classification,success,test,all,,
box_bucket,loaded_box,509,0.5632741312741313,0.7948761089961613,0.2951806849215402,0.2205128894561031,0.007858546168958742,0.5037915057915058,0.022813688212927757,gradient_boosting,context_only,classification,success,test,all,,
box_bucket,standard_box,13855,0.5642966120000936,0.776538598228477,0.2853307746994763,0.20011082733570612,0.00555756044749188,0.5011627387689012,0.013433063654403908,gradient_boosting,context_only,classification,success,test,all,,
down_bucket,early_down,96,0.5425347222222222,0.6949751929409603,0.2503733762834297,0.07872076827959255,0.78125,0.5520833333333334,0.6504065040650406,gradient_boosting,context_only,classification,success,test,tracking_only,,
distance_bucket,long,92,0.535358329378263,0.7003235584143914,0.25232607826664266,0.07433942200806531,0.6304347826086957,0.5242050308495491,0.5981308411214953,gradient_boosting,context_only,classification,success,test,tracking_only,,
field_zone,backed_up,84,0.48440158820192847,0.7271152293114278,0.26488867607537553,0.1374875335538872,0.7261904761904762,0.4707884288145207,0.5769230769230769,gradient_boosting,context_only,classification,success,test,tracking_only,,
pressure_bucket,standard_rush,143,0.5776470588235294,0.6892070716477272,0.2469993226829204,0.10046835323910447,0.6923076923076923,0.5431372549019607,0.632183908045977,gradient_boosting,context_only,classification,success,test,tracking_only,,
score_state,one_score,67,0.5787545787545787,0.6729708626788751,0.23969464643149152,0.17347415713124376,0.7164179104477612,0.5018315018315018,0.6436781609195402,gradient_boosting,context_only,classification,success,test,tracking_only,,
score_state,trailing_big,55,0.5503978779840849,0.7230224898002636,0.2621606173869322,0.12162978181155568,0.6545454545454545,0.5358090185676392,0.5806451612903226,gradient_boosting,context_only,classification,success,test,tracking_only,,
qb_location,S,115,0.6402921485088253,0.666316992598058,0.23596079461839709,0.10442446529113408,0.6347826086956522,0.5812538040170421,0.6518518518518519,gradient_boosting,context_only,classification,success,test,tracking_only,,
starting_hash,L,66,0.5237651444547997,0.7223260164140547,0.2633261567773611,0.1080345645982286,0.7121212121212122,0.51071761416589,0.5526315789473685,gradient_boosting,context_only,classification,success,test,tracking_only,,
starting_hash,R,60,0.6411428571428571,0.6622922019616801,0.23318637419829863,0.099557736552953,0.75,0.5942857142857143,0.725,gradient_boosting,context_only,classification,success,test,tracking_only,,
box_bucket,standard_box,103,0.542911877394636,0.6860235654192893,0.24616977322894856,0.14246096868510144,0.7378640776699029,0.5040229885057471,0.6417910447761194,gradient_boosting,context_only,classification,success,test,tracking_only,,
down_bucket,early_down,14162,0.5408586122676498,0.7963209825259866,0.29290772497824225,0.20498373613139326,0.023725462505295863,0.501663725623528,0.04851374088614694,logistic_regression,context_plus_motion,classification,success,test,all,,
down_bucket,late_down,5954,0.5926414872296588,0.7430358818367352,0.26582332007316367,0.17422361352248975,0.007557944239166946,0.5030651980320624,0.022004889975550123,logistic_regression,context_plus_motion,classification,success,test,all,,
distance_bucket,long,13759,0.5576052644857837,0.7787741344121251,0.2828507610507772,0.1920617872165369,0.012646267897376263,0.5028610953665444,0.030813673567645642,logistic_regression,context_plus_motion,classification,success,test,all,,
distance_bucket,medium,4319,0.5614106634316737,0.7792523995019413,0.28612283454896187,0.19855714348942985,0.027552674230145867,0.499439145996266,0.05094951366373321,logistic_regression,context_plus_motion,classification,success,test,all,,
distance_bucket,short,2038,0.553008423586041,0.7952840854581114,0.29605647946166486,0.2194009379910662,0.04317958783120707,0.5011441714219168,0.08193979933110368,logistic_regression,context_plus_motion,classification,success,test,all,,
field_zone,backed_up,11014,0.5760554425038948,0.7768563537703564,0.2839337842188731,0.19634663463631022,0.01861267477755584,0.5028952234331778,0.04179331306990881,logistic_regression,context_plus_motion,classification,success,test,all,,
field_zone,red_zone,2754,0.5539851700737052,0.7723987772906645,0.2780337891173998,0.18848114305980157,0.013071895424836602,0.5007121746638172,0.02695871946082561,logistic_regression,context_plus_motion,classification,success,test,all,,
field_zone,scoring_range,6348,0.5439488321075936,0.7904932706212583,0.28952733053583735,0.19892699704473046,0.02205419029615627,0.5025119906076685,0.047208931419457735,logistic_regression,context_plus_motion,classification,success,test,all,,
pressure_bucket,standard_rush,20115,0.5647487886563209,0.7805268996372446,0.2848803585584639,0.19581587178983223,0.018941088739746457,0.5025704595568006,0.041731872717788214,logistic_regression,context_plus_motion,classification,success,test,all,,
score_state,leading_big,2264,0.5608329329599119,0.8106120732099146,0.29761234798328284,0.22187456368156655,0.023409893992932862,0.5029768252145416,0.050522648083623695,logistic_regression,context_plus_motion,classification,success,test,all,,
score_state,one_score,12762,0.5664545975701814,0.7790360817013741,0.2844526658680526,0.19477995356662392,0.018884187431437077,0.5032210200918185,0.04297195341971461,logistic_regression,context_plus_motion,classification,success,test,all,,
score_state,trailing_big,5090,0.5615210946094265,0.7709723352787351,0.2803324108477884,0.18903510109183433,0.017092337917485264,0.5005867957043614,0.03417343015805212,logistic_regression,context_plus_motion,classification,success,test,all,,
qb_location,0,225,0.5871523388116308,0.7864335318340254,0.2891564052184579,0.2161104045174829,0.0044444444444444444,0.49557522123893805,0.0,logistic_regression,context_plus_motion,classification,success,test,all,,
qb_location,P,666,0.5348010787116791,0.8027752118025864,0.2966812448019491,0.21734210637173204,0.03903903903903904,0.4914586959854969,0.056338028169014086,logistic_regression,context_plus_motion,classification,success,test,all,,
qb_location,S,16342,0.5643931326913721,0.7745726731263604,0.2818359985373317,0.1900658510434199,0.018357606168155672,0.5028036589803826,0.04121816749803098,logistic_regression,context_plus_motion,classification,success,test,all,,
qb_location,U,2883,0.5609566764938867,0.8088348716735291,0.2991527785460138,0.22536314709303434,0.018730489073881373,0.5041038990289244,0.044,logistic_regression,context_plus_motion,classification,success,test,all,,
starting_hash,0,227,0.5735134295916783,0.787016243098621,0.28914798300997063,0.20848489214543903,0.00881057268722467,0.5000388138487812,0.017391304347826087,logistic_regression,context_plus_motion,classification,success,test,all,,
starting_hash,L,9159,0.560210594323677,0.7848553821858845,0.2869418295924294,0.1978664668693526,0.01965280052407468,0.5024488370459289,0.042766151046405826,logistic_regression,context_plus_motion,classification,success,test,all,,
starting_hash,M,2114,0.5520406567772291,0.7731166118926746,0.2814306178070185,0.18690286727191366,0.015610217596972564,0.5020285909765887,0.034482758620689655,logistic_regression,context_plus_motion,classification,success,test,all,,
starting_hash,R,8616,0.5718685809873302,0.777625550699156,0.2834482490057012,0.19561330819197448,0.019266480965645313,0.5029056568867599,0.04304230863291758,logistic_regression,context_plus_motion,classification,success,test,all,,
box_bucket,light_box,5752,0.5709874990133397,0.7562508255867748,0.2733461396887438,0.17700127138227573,0.015299026425591099,0.5000641329228827,0.0296875,logistic_regression,context_plus_motion,classification,success,test,all,,
box_bucket,loaded_box,509,0.5729266409266409,0.8351619588493818,0.3086712233824639,0.2498417884144707,0.019646365422396856,0.5075135135135135,0.05204460966542751,logistic_regression,context_plus_motion,classification,success,test,all,,
box_bucket,standard_box,13855,0.5608433337322067,0.7886309064712724,0.2888105810657636,0.2019487855249227,0.02042583904727535,0.5033000489655725,0.04587834837945834,logistic_regression,context_plus_motion,classification,success,test,all,,
down_bucket,early_down,96,0.5043402777777778,0.7361464921135884,0.26837025573980067,0.10602741727163643,0.8645833333333334,0.53125,0.6564885496183206,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
distance_bucket,long,92,0.5201708590412909,0.7042146000964663,0.2547553055854213,0.09188251833208157,0.7391304347826086,0.5170859041290935,0.6324786324786325,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
field_zone,backed_up,84,0.5116279069767442,0.7321770434488607,0.26688335636373944,0.15005942956820528,0.8214285714285714,0.4923425978445831,0.625,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
pressure_bucket,standard_rush,143,0.514313725490196,0.7199848030609312,0.2614503434244615,0.10565435492265793,0.8111888111888111,0.5022549019607843,0.6387434554973822,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
score_state,one_score,67,0.48809523809523814,0.7124419211847539,0.2559390102675679,0.1412978545839471,0.835820895522388,0.5123626373626373,0.6947368421052632,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
score_state,trailing_big,55,0.4960212201591512,0.7229479896254207,0.26458015480034097,0.1576785115502691,0.7636363636363637,0.4688328912466843,0.5588235294117647,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
qb_location,S,115,0.5526475958612294,0.6971520950564997,0.25095364481614757,0.10140760497739278,0.7739130434782608,0.5178027997565429,0.6490066225165563,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
starting_hash,L,66,0.516309412861137,0.7581702959872874,0.27935657171759404,0.17035138838063565,0.8636363636363636,0.4986020503261882,0.5813953488372093,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
