evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_full,auroc_full,log_loss_full,brier_score_full,expected_calibration_error_full,rmse_full,mae_full,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,logistic_regression,distance_bucket,short,test,2038,0.5810702377613661,1.3570523882356287,0.44012912796944353,0.43731174701876485,,,2038,0.580863793586987,1.3597401457252507,0.44066352974016354,0.437433011775874,,,0.00020644417437909457,0.0026877574896220224,0.0005344017707200055,0.00012126475710916296,,,full,context_plus_motion
all,classification,completion,logistic_regression,down_bucket,early_down,test,14162,0.5883619885619822,1.3629998673305885,0.4481818410647018,0.4496405483933644,,,14162,0.5902841617118754,1.3679652036531087,0.44893889415102256,0.4509770436064373,,,-0.0019221731498931804,0.004965336322520164,0.0007570530863207359,0.0013364952130728858,,,full,context_plus_motion
all,classification,completion,logistic_regression,down_bucket,late_down,test,5954,0.564940151381799,1.2560273518285257,0.39713544514393917,0.3882794618688329,,,5954,0.5675594311221842,1.2587991538816012,0.3975827122927611,0.3890015073487161,,,-0.0026192797403852275,0.0027718020530755894,0.0004472671488219282,0.0007220454798831932,,,full,context_plus_motion
all,classification,completion,logistic_regression,field_zone,backed_up,test,11014,0.5829439820399849,1.360529692413355,0.44657295093999805,0.44573983326454775,,,11014,0.5836302811360835,1.3600099333038969,0.4464622282600522,0.44585219626965134,,,-0.0006862990960986304,-0.0005197591094581178,-0.0001107226799458294,0.00011236300510358843,,,full,context_plus_motion
all,classification,completion,logistic_regression,field_zone,red_zone,test,2754,0.6253967500263797,1.216013200752065,0.37892117272956133,0.37579167907209343,,,2754,0.6286076817558298,1.2242623952917815,0.38038012437848,0.37800578815635405,,,-0.003210931729450084,0.008249194539716509,0.0014589516489186827,0.002214109084260618,,,full,context_plus_motion
all,classification,completion,logistic_regression,field_zone,scoring_range,test,6348,0.5818078968878597,1.3307209494031125,0.4331430816312177,0.4312155067517524,,,6348,0.5831729969154391,1.3417210671555906,0.43481068736032324,0.4338371872858778,,,-0.0013651000275793912,0.011000117752478111,0.0016676057291055701,0.00262168053412537,,,full,context_plus_motion
all,classification,completion,logistic_regression,pressure_bucket,standard_rush,test,20115,0.5947204003125379,1.3314020576218215,0.43309441913630903,0.4314708012373047,,,20115,0.5964071126076816,1.335718302709259,0.43375980968012257,0.4325455854286292,,,-0.001686712295143722,0.0043162450874374425,0.0006653905438135377,0.001074784191324507,,,full,context_plus_motion
all,classification,completion,logistic_regression,qb_location,0,test,225,0.5161000326904217,1.4848634993023158,0.483807479217394,0.49371281729050603,,,225,0.5188787185354691,1.4291306702976665,0.4755846649354734,0.48520297809360274,,,-0.0027786858450473684,-0.055732829004649265,-0.008222814281920565,-0.00850983919690329,,,full,context_plus_motion
all,classification,completion,logistic_regression,qb_location,P,test,666,0.5748076237804935,1.392053033120731,0.46230421630619184,0.4623168769292008,,,666,0.5794304315583678,1.3724052949179248,0.4588916232400882,0.4599508165326076,,,-0.0046228077778742716,-0.019647738202806186,-0.003412593066103642,-0.002366060396593206,,,full,context_plus_motion
all,classification,completion,logistic_regression,qb_location,S,test,16342,0.6001176358232467,1.3085036189860513,0.42715801943014065,0.42570545319879083,,,16342,0.6015096051530349,1.3138932351416255,0.42799873488254925,0.42688678072601743,,,-0.0013919693297881341,0.005389616155574206,0.0008407154524086025,0.0011813275272266055,,,full,context_plus_motion
all,classification,completion,logistic_regression,qb_location,U,test,2883,0.5864959254947614,1.4347635189217345,0.4558890146146809,0.4537365492181523,,,2883,0.5878189530694939,1.443216718844821,0.4571961123201113,0.45549999345677555,,,-0.0013230275747325715,0.008453199923086574,0.0013070977054304156,0.0017634442386232352,,,full,context_plus_motion
all,classification,completion,logistic_regression,score_state,leading_big,test,2264,0.6107909200906189,1.2575025062771619,0.41565986389605086,0.4113931919016842,,,2264,0.6115503681392236,1.2664845683852917,0.4171690414820817,0.41447228527071084,,,-0.0007594480486047273,0.008982062108129796,0.0015091775860308632,0.00307909336902662,,,full,context_plus_motion
all,classification,completion,logistic_regression,score_state,one_score,test,12762,0.5952478633455843,1.3427081584122675,0.4366744642012467,0.4367439050853814,,,12762,0.5972856330632892,1.348353155605113,0.4375313452462288,0.4379710550629951,,,-0.0020377697177048626,0.005644997192845391,0.0008568810449820496,0.0012271499776136952,,,full,context_plus_motion
all,classification,completion,logistic_regression,score_state,trailing_big,test,5090,0.5860627999379482,1.3356706840970494,0.43178825727865416,0.42746415957326045,,,5090,0.587213760990427,1.3345794384458984,0.4315981041277164,0.42763413277014983,,,-0.001150961052478805,-0.0010912456511509294,-0.0001901531509377885,0.00016997319688938362,,,full,context_plus_motion
all,classification,completion,logistic_regression,starting_hash,0,test,227,0.5130781499202551,1.4592658418170943,0.4754393522298729,0.4837087531361619,,,227,0.5177830940988836,1.4047244194775546,0.4673632321646834,0.4752691599761399,,,-0.004704944178628434,-0.054541422339539736,-0.008076120065189485,-0.008439593160022019,,,full,context_plus_motion
