evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,n_obs_context_only,auroc_context_only,log_loss_context_only,brier_score_context_only,expected_calibration_error_context_only,rmse_context_only,mae_context_only,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,logistic_regression,down_bucket,early_down,test,14162,0.5902841617118754,1.3679652036531087,0.44893889415102256,0.4509770436064373,,,14162,0.5482358997474466,0.909995283465836,0.3466317809663785,0.3319369466411497,,,0.04204826196442879,-0.45796992018727267,-0.10230711318464408,-0.11904009696528761,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,down_bucket,late_down,test,5954,0.5675594311221842,1.2587991538816012,0.3975827122927611,0.3890015073487161,,,5954,0.5384931327547064,0.8847482703018675,0.3266170398598004,0.2786906452615585,,,0.02906629836747776,-0.3740508835797337,-0.0709656724329607,-0.11031086208715757,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,field_zone,backed_up,test,11014,0.5836302811360835,1.3600099333038969,0.4464622282600522,0.44585219626965134,,,11014,0.5679405372269282,0.9047689280058311,0.3429112016670104,0.32313027289000323,,,0.01568974390915534,-0.45524100529806577,-0.10355102659304183,-0.1227219233796481,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,field_zone,red_zone,test,2754,0.6286076817558298,1.2242623952917815,0.38038012437848,0.37800578815635405,,,2754,0.5916176005064895,0.8892837244240107,0.3289830827842248,0.2919142355048093,,,0.036990081249340334,-0.3349786708677708,-0.05139704159425523,-0.08609155265154472,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,field_zone,scoring_range,test,6348,0.5831729969154391,1.3417210671555906,0.43481068736032324,0.4338371872858778,,,6348,0.5449463188877337,0.9043686288123096,0.341971290520305,0.31626711164538296,,,0.03822667802770541,-0.43735243834328097,-0.09283939684001824,-0.11757007564049482,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,pressure_bucket,standard_rush,test,20115,0.5964071126076816,1.335718302709259,0.43375980968012257,0.4325455854286292,,,20115,0.5696854335428506,0.9025590075567458,0.3407234752625812,0.31590619718703494,,,0.026721679064831028,-0.43315929515251317,-0.09303633441754139,-0.11663938824159426,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,qb_location,0,test,225,0.5188787185354691,1.4291306702976665,0.4755846649354734,0.48520297809360274,,,225,0.48414514547237664,0.9288822027861114,0.3525189673172896,0.3270415000045225,,,0.03473357306309244,-0.500248467511555,-0.12306569761818381,-0.15816147808908027,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,qb_location,P,test,666,0.5794304315583678,1.3724052949179248,0.4588916232400882,0.4599508165326076,,,666,0.5243227105062938,0.9133158252380059,0.34824526745124823,0.33526039997116397,,,0.055107721052074066,-0.4590894696799189,-0.11064635578883997,-0.12469041656144364,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,qb_location,S,test,16342,0.6015096051530349,1.3138932351416255,0.42799873488254925,0.42688678072601743,,,16342,0.5753686647541396,0.896882455370406,0.33800606004656886,0.31131955139582573,,,0.02614094039889525,-0.4170107797712195,-0.08999267483598039,-0.1155672293301917,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,qb_location,U,test,2883,0.5878189530694939,1.443216718844821,0.4571961123201113,0.45549999345677555,,,2883,0.5471798228302198,0.9299425892896038,0.3533589969896474,0.3381723166801014,,,0.040639130239274124,-0.5132741295552172,-0.10383711533046391,-0.11732767677667416,,,context_plus_motion,context_only
